source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
2.0,recall_score,0.9742623979912115,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
2.0,precision_score,0.8863506567675614,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
2.0,f1_score,0.9282296650717704,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
3.0,accuracy_score,0.8133133133133134,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
3.0,recall_score,0.7958740499457112,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
3.0,precision_score,0.7984749455337691,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
3.0,f1_score,0.7971723762914628,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
4.0,accuracy_score,0.47647647647647645,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
4.0,recall_score,0.4226618705035971,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
4.0,precision_score,0.5377574370709383,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
4.0,f1_score,0.473313192346425,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
5.0,accuracy_score,0.908908908908909,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
5.0,recall_score,0.9229122055674518,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
5.0,precision_score,0.8868312757201646,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
5.0,f1_score,0.9045120671563484,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
6.0,accuracy_score,0.8033033033033034,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
6.0,recall_score,0.7555555555555555,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
6.0,precision_score,0.7783132530120482,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
6.0,f1_score,0.7667655786350148,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
7.0,accuracy_score,0.5320320320320321,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
7.0,recall_score,0.4080675422138837,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
7.0,precision_score,0.5886332882273342,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
7.0,f1_score,0.481994459833795,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
8.0,accuracy_score,0.4954954954954955,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
8.0,recall_score,0.41164658634538154,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
8.0,precision_score,0.49278846153846156,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
8.0,f1_score,0.4485776805251641,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
9.0,accuracy_score,0.8703703703703703,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
9.0,recall_score,0.946652719665272,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
9.0,precision_score,0.8131176999101527,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
9.0,f1_score,0.8748187530207829,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
10.0,accuracy_score,0.8728728728728729,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
10.0,recall_score,0.9029443838604144,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
10.0,precision_score,0.8338368580060423,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
